company,address,report publication year,internal manufacturing site
3M Company,"1030 Lake Road Medina, Ohio, USA",2013,TRUE
3M Company,"3406 E. Pleasant Street Knoxville, Iowa, USA",2013,TRUE
3M Company,"915 Adams Street S.E. Hutchinson, Minnesota, USA",2013,TRUE
3M Company,"Nanxiang 2nd Road Tianhe, Guangzhou, Guangdong, China",2013,TRUE
3M Company,"No. 8 Xingyi Road, Changning Shanghai, China",2013,TRUE
AAC Technologies Holdings Inc.,"Building 5, 6th floor, Nanyou Tianan Industry Park, Dengliang Road, Nan Shan District Shenzhen, Guangdong, China",2013,TRUE
AAC Technologies Holdings Inc.,"Gangqiao Street, Nanxiashu Town, Wujin District, Changzhou, Jiangsu, China",2013,TRUE
AcBel Polytech Inc.,"No. 17-28, (Hong Yeh Road), Hong Yeh 138 Industrial District, Tang Xia Town, Dongguan, Guangdong, China",2013,TRUE
Advanced-Connectek Inc.,"No. 2 Middle Lan Jing Road, Grand Industrial Zone, Ping Shan District, Shenzhen, Guangdong, China",2013,TRUE
Advanced-Connectek Inc.,"No. 888 Hua-Yuan Road, Zhang-Pu Town Kunshan, Jiangsu, China",2013,TRUE
"AKM Semiconductor, Inc.","1-15, Nakashima-cho,Nobeoka, Miyazaki, Japan",2013,TRUE
"AKM Semiconductor, Inc.","13-2 Sekinoiri Sumie, Ishinomaki City, Miyazaki, Japan",2013,TRUE
"AKM Semiconductor, Inc.","4 Ren Der Road, Hsinchu Industrial Park, Hsinchu, Taiwan",2013,TRUE
"AKM Semiconductor, Inc.","5-4960, Nakagawara-cho Nobeoka, Miyazaki, Japan",2013,TRUE
"AKM Semiconductor, Inc.","No. 5 Nanke 7th Road, Southern Taiwan Science Park Tainan, Taiwan",2013,TRUE
"Alcoa, Inc.","1480 Manheim Pike, Lancaster, Pennsylvania, USA",2013,TRUE
"Alps Electric Co., Ltd.","230, Shibue Wakuya-Cho Tohda-gun, Miyagi, Japan",2013,TRUE
"Alps Electric Co., Ltd.","41-25, Yanagi-machi, Noda Onahama Iwaki, Fukushima, Japan",2013,TRUE
"Alps Electric Co., Ltd.","6-1 Nishida Kakuda City, Miyagi, Japan",2013,TRUE
"Alps Electric Co., Ltd.","6-3-36 Furukawanakazato Osaki, Miyagi, Japan",2013,TRUE
"Alps Electric Co., Ltd.","No. 5, Xingchuang 4 Road Singapore Industrial Park Wuxi, Jiangsu, China",2013,TRUE
"Alps Electric Co., Ltd.","P.T. 10643, Nilai Industrial Estate Nilai, Negeri Sembilan, Malaysia",2013,TRUE
"Alps Electric Co., Ltd.","Xinxing Industry Zone, Xingfa South Street, Wushaliwu, Changan Town Dongguan, Guangdong, China",2013,TRUE
Amperex Technology Ltd.,"1 West Industrial Road, North Industrial Park, Song Shan Lake Dongguan, Guangdong, China",2013,TRUE
Amperex Technology Ltd.,"ATL Industrial Park, Bai Ma, Nan Cheng District Dongguan, Guangdong, China",2013,TRUE
Amperex Technology Ltd.,"No. 1 Xing Gang Road, Zhang Wan Town Ningde, Fujian, China",2013,TRUE
Amphenol Corporation,"Blk 6, The 4th Industrial Zone, Dawangshan, Shajing Town, Baoan District Shenzhen, Guangdong China",2013,TRUE
Amphenol Corporation,"Block A3/A4,The 4th Industrial District of Industrial Headquarters, Dong Keng Road, Gong Ming Town Shenzhen, Guangdong China",2013,TRUE
Amphenol Corporation,"No. 689 Shen Nan Road, Xin Zhuang Industry Park Shanghai, China",2013,TRUE
Amphenol Corporation,"No. 98-5 (South), Road 19, Hangzhou Economic and Technological Development Zone Hangzhou, Zhejiang China",2013,TRUE
"Analog Devices, Inc.","Bay F-1, Raheen Industrial Estate Limerick, Ireland",2013,TRUE
"Analog Devices, Inc.","Gateway Business Park, Javelera, Gen. Trias Cavite, Philippines",2013,TRUE
"Analog Devices, Inc.","JCAP: AKA Jiangyin Changdian Advanced Packaging, No. 275 Binjiang Rd Jiangyin, Jiangsu China",2013,TRUE
"Analog Devices, Inc.","KA Jiangyin Changdian Advanced Packaging Jiangyin, Jiangsu China",2013,TRUE
"Analog Devices, Inc.","Km. 14 Paraaque City Cavite, Philippines",2013,TRUE
"Analog Devices, Inc.","NW Parker Street Camas, Washington USA",2013,TRUE
"Analog Devices, Inc.","SPECIAL ECONOMIC PROCESSING ZONE Factory Site P3119 North Science Avenue, Laguna Technopark, Binan, Laguna Philippines",2013,TRUE
"Anjie Insulating Material Co., Ltd.","No 8, Fujing Road, Guang Fu Town, Wuzhong District Suzhou, Jiangsu China",2013,TRUE
Arvato Digital,"112 Hidden Lake Circle Duncan, South Carolina USA",2013,TRUE
Arvato Digital,"149 Mc Credie Street Smithfield, Australia",2013,TRUE
Arvato Digital,"162 Luixiu Road, 200231 Shanghai, China",2013,TRUE
Arvato Digital,"2 Woodland Sector 1,#01-14,Woodland East Industrial Estate Singapore",2013,TRUE
Arvato Digital,"235 King Street East Kitchener, Ontario Canada",2013,TRUE
Arvato Digital,"4600 Commerce Crossing Drive Louisville, Kentucky USA",2013,TRUE
Arvato Digital,"Benzstrabe, 9-15 Herzebrock, Germany",2013,TRUE
Arvato Digital,"No. 9 Dai Hei Street Tai Po Industrial Hong Kong, China",2013,TRUE
Arvato Digital,"OPL Logistics 4 F, Chuo Minato 1-9-2 Chuo-ku Chiba, Chiba Japan",2013,TRUE
Arvato Digital,"Willi-Bleicher-Strabe 36 Duren, Germany",2013,TRUE
Asahi Glass,"1-8 Machiikedai Koriyama, Fukushima Japan",2013,TRUE
Asahi Glass,"3583-5 Kawashiri, Yoshida-cho Haibara-gun, Shizuoka Japan",2013,TRUE
Asahi Glass,"SAHA Group Industrial Park Lamphun 99/39 Moo 5, T. Pasak, Muang Lamphun, Lamphun Thailand",2013,TRUE
Asahi Glass,"Umei 5-6-1, Takasagao City, Hyogo, 676-8655 Takasago, Japan",2013,TRUE
"Asia Vital Components, Ltd.","West Industry Park, Xin Yang Industrial Zone, Shajing Town, Baoan District Shenzhen, Guangdong China",2013,TRUE
"Asia Vital Components, Ltd.","No. 5, Lane 8, Rong Jiang Road, Songjiang Export Processing Zone Shanghai, China",2013,TRUE
AT&S AG,"No. 5000, Jin Du Road,Shanghai, China",2013,TRUE
AU Optronics Corporation,"10 Tampines Industrial Ave 3, Singapore",2013,TRUE
AU Optronics Corporation,"189, Hwaya Road 2, Kueishan Taoyuan, Taiwan",2013,TRUE
AU Optronics Corporation,"No. 1, Li-Hsin Road 2, Hsinchu Science Park Hsinchu, Taiwan",2013,TRUE
AU Optronics Corporation,"No. 398, Suhong Zhong Road, Suzhou Industrial Park, Suzhou, Jiangsu China",2013,TRUE
AU Optronics Corporation,"No. 1, Jhong Ke Road Central Taiwan Science Park Taichung, Taiwan",2013,TRUE
AU Optronics Corporation,"No. 1689 Xiang An North Road, Xiang An Branch, Torch Hi-tech Industrial Development Zone Xiamen, Fujian China",2013,TRUE
"Auras Technology Co., Ltd.","No. 20, Kezhu Road, Science City,Luogang District Guangzhou, Guangdong China",2013,TRUE
"Auras Technology Co., Ltd.","No. 46, Kunshan Export Processing Zone Kunshan, Jiangsu China",2013,TRUE
Austria Microsystems,"1001 Klein Road, Suite 300Plano, Texas USA",2013,TRUE
Austria Microsystems,"B2-1 D Carmelray Industrial Park II, Barangay Tulo Calamba, Laguna Philippines",2013,TRUE
Austria Microsystems,"Tobelbaderstrasse 30Unterpremstaetten, Styria Austria",2013,TRUE
"Avago Technologies, Ltd.","4380 Ziegler Road Ft. Collins, Colorado USA",2013,TRUE
Avnet Electronics,"1820 Mc Carthy Blvd.Milpitas, California USA",2013,TRUE
Avnet Electronics,"2 Aljunied Ave 1, #03-01/02 Singapore",2013,TRUE
Avnet Electronics,"Block 16-3 B, No. 69 Xi Ya Road, Waigaoqiao Free Trade Zone, Shanghai, China",2013,TRUE
Best Ever Industries Limited,"No. 1216 Lanhua Road, Jincheng Economic and Technology Development Zone Jincheng, Shanxi China",2013,TRUE
Biel Crystal Manufactory Ltd.,"Biel Crystal Industrial Park, Baishi, Qiuchang, Huiyang District Huizhou, Guangdong China",2013,TRUE
Biel Crystal Manufactory Ltd.,"Block A, 10/F., A1-A5, Mei Hing Ind. Bldg., 16-18 Hing Yip Street, Kwun Tong,Kowloon, Hong Kong, China",2013,TRUE
Biel Crystal Manufactory Ltd.,"No. 7, 4th Jinquan Road, Liuyue Village, Henggang District Shenzhen, Guangdong China",2013,TRUE
Biel Crystal Manufactory Ltd.,"Tang Jing Village, Bai Shi, Qiu Chang Town, Huiayang District Huizhou, Guangdong China",2013,TRUE
"Bluecom Co., Ltd.","No. 5 Quan Xing Road, Wu Qing Developing Zone Tianjin, China",2013,TRUE
Brilliant International Group Ltd.,"Building 1, Linyuan Investment Park, Intersection of Yanhe Road and Shenzhou Xinzheng, Henan China",2013,TRUE
Brilliant International Group Ltd.,"Qiao Tou No.1 Industrial District, Lou Cun Community Council, Gong Ming Street, Guangming Xin Qu Shenzhen, Guangdong China",2013,TRUE
Broadway Industrial Group Ltd.,65 Chulia Street #48-03/04 OCBC Centre Singapore,2013,TRUE
Broadway Industrial Group Ltd.,"Block 34 East Juhuang Industrial Park, Dasan Village, Dasan Community Guanlan Community Office, Baoan District Shenzhen, Guangdong China",2013,TRUE
Broadway Industrial Group Ltd.,"No. 8 Guxu Road Pudong New District Shanghai, China",2013,TRUE
Broadway Industrial Group Ltd.,"South Section Century Avenue Chongzhou City Chengdu, Sichuan China",2013,TRUE
BYD Company Ltd.,"No. 1, Bao Ping Road, Baolong Industrial Town, Long Gang Shenzhen, Guangdong China",2013,TRUE
BYD Company Ltd.,"Xiangshui River, Economic Development Zone, Daya Bay Huizhou, Guangdong China",2013,TRUE
"Career Technology (Mfg.) Co., Ltd.","248, Bo-ai Street, Shulin District Taipei, Taiwan",2013,TRUE
"Career Technology (Mfg.) Co., Ltd.","No. 18 Jin-Sha-Jiang South Road,Kunshan, Jiangsu China",2013,TRUE
"Catcher Technology Co., Ltd.","No. 111, Chang Yang Street, Industrial Park, Suzhou, Jiangsu, China",2013,TRUE
"Catcher Technology Co., Ltd.","No. 107, Chang Yang Street, Industrial Park, Suzhou, Jiangsu, China",2013,TRUE
"Catcher Technology Co., Ltd.","No. 21, Gucheng Road, Suzhou-Suqian Industrial Park Suqian, Jiangsu China",2013,TRUE
"Catcher Technology Co., Ltd.","No. 6, Zhenxin West Road, Economic Development Park Tai Zhou, Jiangsu China",2013,TRUE
"Catcher Technology Co., Ltd.","Topo Technology (Suzhou) Co., Ltd. No. 111, Chang Yang Street, Industrial Park,Suzhou, Jiangsu China",2013,TRUE
Cheng Loong Corporation,"Building 3, Linyuan Investment Park, Intersection of Yanhe Road and Shenzhou, Xinzheng, Henan China",2013,TRUE
