customer,supplier,supplier_address,report_publication_year,supplier_address_is_internal_manufacturing_site,from_date,to_date
Apple Inc.,AAC Technologies Holdings Inc.,,2012,,2011-01-01,2011-12-31
Apple Inc.,AcBel Polytech Inc.,,2012,,2011-01-01,2011-12-31
Apple Inc.,Acument Global Technologies,,2012,,2011-01-01,2011-12-31
Apple Inc.,"Advanced Micro Devices, Inc.",,2012,,2011-01-01,2011-12-31
Apple Inc.,Amperex Technology Ltd.,,2012,,2011-01-01,2011-12-31
Apple Inc.,Amphenol Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,"Analog Devices, Inc.",,2012,,2011-01-01,2011-12-31
Apple Inc.,"Anjie Insulating Material Co., Ltd.",,2012,,2011-01-01,2011-12-31
Apple Inc.,Asahi Kasei Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,AU Optronics Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,Austria Technologie & Systemtechnik AG,,2012,,2011-01-01,2011-12-31
Apple Inc.,austriamicrosystems,,2012,,2011-01-01,2011-12-31
Apple Inc.,Avago Technologies Ltd.,,2012,,2011-01-01,2011-12-31
Apple Inc.,Brady Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,Brilliant International Group Ltd.,,2012,,2011-01-01,2011-12-31
Apple Inc.,Broadcom Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,Broadway Industrial Group Ltd.,,2012,,2011-01-01,2011-12-31
Apple Inc.,ByD Company Ltd.,,2012,,2011-01-01,2011-12-31
Apple Inc.,"Career Technology (MFG.) Co., Ltd.",,2012,,2011-01-01,2011-12-31
Apple Inc.,"Catcher Technology Co., Ltd.",,2012,,2011-01-01,2011-12-31
Apple Inc.,Cheng Loong Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,"Cheng Uei Precision Industry Co., Ltd. (Foxlink)",,2012,,2011-01-01,2011-12-31
Apple Inc.,Chimei Innolux Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,"Coilcraft, Inc.",,2012,,2011-01-01,2011-12-31
Apple Inc.,"Compeq Manufacturing Co., Ltd.",,2012,,2011-01-01,2011-12-31
Apple Inc.,Cosmosupplylab Ltd.,,2012,,2011-01-01,2011-12-31
Apple Inc.,CymMetrik (Shenzhen) Printing Co.,,2012,,2011-01-01,2011-12-31
Apple Inc.,"Cyntec Co., Ltd.",,2012,,2011-01-01,2011-12-31
Apple Inc.,Cypress Semiconductor Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,Daishinku Corporation (KDS),,2012,,2011-01-01,2011-12-31
Apple Inc.,Darfon Electronics Corporation,,2012,,2011-01-01,2011-12-31
Apple Inc.,Delta Electronics Inc.,,2012,,2011-01-01,2011-12-31
Apple Inc.,Diodes Inc.,,2012,,2011-01-01,2011-12-31
Apple Inc.,Dynapack International Technology,,2012,,2011-01-01,2011-12-31
Apple Inc.,"Elpida Memory, Inc.",,2012,,2011-01-01,2011-12-31
Apple Inc.,Emerson Electric Co.,,2012,,2011-01-01,2011-12-31
Apple Inc.,"ES Power Co., Ltd.",,2012,,2011-01-01,2011-12-31
Apple Inc.,Fairchild Semiconductor International,,2012,,2011-01-01,2011-12-31
Apple Inc.,Fastening Technology Pte Ltd.,,2012,,2011-01-01,2011-12-31
Apple Inc.,"FLEXium Interconnect, Inc.",,2012,,2011-01-01,2011-12-31
Apple Inc.,Flextronics International Ltd.,,2012,,2011-01-01,2011-12-31
