supplier_name,supplier_address,supplier_address_is_internal_manufacturing_site
3M Co.,"No. 235 Zhongyuan Road, Suzhou, Jiangsu, China",True
3M Co.,"5500 Oaza Osanagi, Higashine, Yamagata, Japan",True
3M Co.,"577 Keumeui-ri, Jangan-myon, Hwaseong, Gyeonggi-Do, South Korea",True
3M Co.,"No. 312, Section 1, Huan Dong Road, Sinshih Township, Tainan, Taiwan",True
3M Co.,"1400 State Docks Road, Decatur, Alabama, United States",True
3M Co.,"1400 Perimeter Road, Greenville, South Carolina, United States",True
3M Co.,"915 Adams Street, Hutchinson, Minnesota, United States",True
3M Co.,"905 Adams Street, Hutchinson, Minnesota, United States",True
3M Co.,"3406 E. Pleasant Street, Knoxville, Iowa, United States",True
3M Co.,"1030 Lake Road, Medina, Ohio, United States",True
3M Co.,"1425 Stokke Parkway, Menomonie, Wisconsin, United States",True
AAC Technologies Holdings Inc.,"No. 66 Yanghuxi Road, Wujin District, Changzhou, Jiangsu, China",True
AAC Technologies Holdings Inc.,"No. 8 Fengqi Road, High Tech. Industry Development Area, Wujin District, Changzhou, Jiangsu, China",True
AAC Technologies Holdings Inc.,"6F, Building 5, Nanyou Tianan Industry Park, Dengliang Road, Nanshan District, Shenzhen, Guang- dong, China",True
Acbel Polytech Inc.,"No. 17-28 Hongyeh Road, Hongyeh Industrial District, Tangxia Town, Dongguan, Guangdong, China",True
Advance Tech,"No. 8 Dongshan Avenue, Xukou Town, Wuzhong District, Suzhou, Jiangsu, China",True
Advanced Semiconductor Engineering Inc.,"No. 1558, Zhangdong Road, Zhangjiang High-Technology Park, Shanghai, China",True
Advanced Semiconductor Engineering Inc.,"No. 501, Longgui Road, Jinqiao Export Processing South Zone, Pudong New Area, Shanghai, China",True
Advanced Semiconductor Engineering Inc.,"76, Saneopdanji-gil, Paju, Gyeonggi-Do, South Korea",True
Advanced Semiconductor Engineering Inc.,"1F, 550 Chung-Hwa Road, Section 1, Chungli, Taoyuan, Taiwan",True
Advanced Semiconductor Engineering Inc.,"1F, No. 115 Nei-Huan North Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"73 Kai Fa Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"No. 2, Chuangyi South Road, Nanzi Dist, Kaohsiung, Taiwan",True
AKM Semiconductor Inc.,"5-4960, Nakagawara-cho, Nobeoka, Miyazaki, Japan",True
Alps Electric Co. Ltd.,"Xinxing Industrial Zone, Xingfa South Street, Wushaliwu, Changan Town, Dongguan, Guangdong, China",True
Alps Electric Co. Ltd.,"No. 5 Xingchuang 4th Road, Singapore Industrial Park, Wuxi, Jiangsu, China",True
Alps Electric Co. Ltd.,"41-25, Yanagi-machi, Noda Onahama, Iwaki, Fukushima, Japan",True
Alps Electric Co. Ltd.,"6-1 Nishida, Kakuda, Miyagi, Japan",True
Alps Electric Co. Ltd.,"1-3-5 Higashi Takami, Nagaoka, Niigata, Japan",True
Alps Electric Co. Ltd.,"6-3-36 Furukawa Nakazato, Sendai, Miyagi, Japan",True
Alps Electric Co. Ltd.,"230, Shibue, Wakuya, Tohda-gun, Japan",True
Alps Electric Co. Ltd.,"P.T. 10643, Nilai Industrial Estate, Nilai, Negeri Sembilan, Malaysia",True
Amphenol Corp.,"No. 98-5, Road 19, Hangzhou Economic and Technological Development Zone, Hangzhou, Zhejiang, China",True
Amphenol Corp.,"No. 689 Shennan Road, Xinzhuang Industry Park, Shanghai, China",True
Amphenol Corp.,"Block A3/A4, The 4th Industrial District of Industrial Headquarters, Dongkeng Road, Gongming Town, Shenzhen, Guangdong, China",True
Analog Devices Inc.,"Bay F-1, Raheen Industrial Estate, Limerick, Ireland",True
Analog Devices Inc.,"Gateway Business Park, Javalera, Gen. Trias, Cavite, Philippines",True
Analog Devices Inc.,"NW Parker St, Camas, Washington, United States",True
Artesyn Embedded Technologies,"1st Building, Emerson Industrial Park, FengTang Road, Fuyong, Bao'an District, Shenzhen, Guang- dong, China",True
Artesyn Embedded Technologies,"No. 68, Baocheng East Road, Fucheng Town, Luoding, YunFu, Guangdong, China",True
Artesyn Embedded Technologies,"Main Avenue Corner Road J, PEZA Complex, Rosario, Cavite, Philippines",True
"Asahi Glass Co., Ltd.","3583-5 Kawashiri, Yoshida-cho, Haibara-gun, Shizuoka, Japan",True
"Asahi Glass Co., Ltd.","1-8 Machiikedai, Koriyama, Fukushima, Japan",True
"Asahi Glass Co., Ltd.","5-6-1, Umei, Takasago, Hyogo, Japan",True
"Asahi Glass Co., Ltd.","SAHA Group Industrial Park Lamphun 99/39 Moo 5, T. Pasak, Muang Lamphun, Lamphun, Thailand",True
Asia Vital Components Ltd.,"No. 5, Lane 8, Rongjiang Road, Songjiang Export Processing Zone, Shanghai, China",True
Asia Vital Components Ltd.,"West Industry Park, Xinyang Industrial Zone, Shajing Town, Bao'an District, Shenzhen, Guangdong, China",True
AU Optronics Corp.,"No. 398 Suhong Middle Road, Suzhou Industrial Park, Suzhou, Jiangsu, China",True
AU Optronics Corp.,"No. 1 Li Hsin Road 2, Hsinchu Science Park, Hsinchu, Taiwan",True
Austria Microsystems (AMS AG),"Tobelbaderstrasse 30, Unterpremstaetten, Styria, Austria",True
Austria Microsystems (AMS AG),"B2-1D Carmelray Industrial Park II, Barangay Tulo, Calamba, Laguna, Philippines",True
Austria Technologie and Systemtechnik AG,"No. 5000 Jin Du Road, Shanghai, China",True
Avago Technologies Ltd.,"110 American Parkway NE, Allentown, Pennsylvania, United States",True
Avago Technologies Ltd.,"4380 Ziegler Road, Ft. Collins, Colorado, United States",True
Biel Crystal Manufactory Ltd.,"Biel Crystal Industrial Park, TangJing Village, Baishi, QiuChang Town, Huiyang District, Huizhou, Guangdong, China",True
"Boyd Die Cut Co,. Ltd.","Building 1, Liuxian 2nd Road, Runheng Industrial Park, 67th Zone of Baocheng, Bao'an District, Shenzhen, Guangdong, China",True
"Boyd Die Cut Co,. Ltd.","8, Xindu Road, Singapore Industrial Park, Wuxi, Jiangsu, China",True
"Boyd Die Cut Co,. Ltd.","No. 7 Xikun Road, Wuxi-Singapore Industrial Park, Wuxi, Jiangsu, China",True
"Boyd Die Cut Co,. Ltd.","Plot 6, Hilir Sungai Keluang 4, Bayan Lepas FIZ, Phase IV, Bayan Lepas, Penang, Malaysia",True
Brilliant International Group Ltd.,"Gongming Street, Lou Cun Community Council, Guangming, Xinqu, Shenzhen, Guangdong, China",True
Brilliant International Group Ltd.,"Building 1, Linyuan Investment Park, Intersection of Yanhe Road and Shenzhou, Xinzheng City, Zhengzhou, Henan, China",True
Broadway Industrial Group Ltd.,"61 Liu Xian Rode 2, Shenzhen Baoan District 71, Hongkong, China",True
Broadway Industrial Group Ltd.,"No 8., Guxu Road, Pudong New District, Shanghai, China",True
Broadway Industrial Group Ltd.,"Block 34, East Juhuang Industrial Park, Dasan Village, Dasan Community, Guanlan Community Office, Bao'an District, Shenzhen, Guangdong, China",True
Bumchun Precision Company Ltd.,"26, Byeolmang-ro 128beon-gil, Danwon-gu (Sihwa Industrial Complex 5Ba 103), Ansan, Gyeong- gi-Do, South Korea",True
"BYD Co., Ltd.","Xiangshui River, Economic Development Zone, Daya Bay, Huizhou, Guangdong, China",True
"BYD Co., Ltd.","No. 1, Baoping Road, Baolong Industrial Town, Longgang, Shenzhen, Guangdong, China",True
Career Technology (Mfg.) Co. Ltd.,"No. 18 Jinshajiang South Road, Kunshan, Jiangsu, China",True
Career Technology (Mfg.) Co. Ltd.,"248 Bo'ai Street, Shulin District, Taipei, Taiwan",True
"Catcher Technology Co., Ltd.","No. 21, Gucheng Road, Suzhou-Suqian Industrial Park, Suqian, Jiangsu, China",True
"Catcher Technology Co., Ltd.","No. 107, Changyang Street, Industrial Park, Suzhou, Jiangsu, China",True
"Catcher Technology Co., Ltd.","Xiangtai Road west side, Lion River South Side, Economic Development Zone, Taizhou, Jiangsu, China",True
Cathay Tat Ming Precision Metal Products Co. Ltd.,"Yuyuan 4 Road, Yuyuan Industrial Zone, Huangjiang Town, Dongguan, Guangdong, China",True
Cathay Tat Ming Precision Metal Products Co. Ltd.,"No. 2, Section A, Bai'gong'ao Industrial Zone, Xikeng Xinwei Sector, Fumin, Guanlan, Bao'an, Shen- zhen, Guangdong, China",True
Cathay Tat Ming Precision Metal Products Co. Ltd.,"No. 5 Furong 3rd Road, Xishan Economic Development Zone, Wuxi, Jiangsu, China",True
Cheng Loong Corp.,"No. 48 Tengfeng 3rd Road, Chengdu, Sichuan, China",True
Cheng Loong Corp.,"No. 1 Tengfei 11th Road, Southwest Air Harbor Development Economic Zone, Chengdu, Sichuan, China",True
Cheng Loong Corp.,"Dongyie Street, Industry District, Houjie Town, Dongguan, Guangdong, China",True
Cheng Loong Corp.,"No. 888 Fuyan Road., Weishi County, Kaifeng, Henan, China",True
Cheng Loong Corp.,"No. 98, B Zone, Guilin Road, Kunshan, Jiangsu, China",True
Cheng Loong Corp.,"399 Xiupu Road, Kangqiao Industrial Zone, Nanhui District, Shanghai, China",True
Cheng Uei Precision Industry Co. Ltd. (Foxlink),"8th, Long Keng Industry District, QianMei Road, Dong Keng, Dongguan, Guangdong, China Changlong District, Huangjiang town, Dongguan, Guangdong, China",True
Cheng Uei Precision Industry Co. Ltd. (Foxlink),"Industry Street, Dong-Keng, Dongguan, Guangdong, China",True
Cheng Uei Precision Industry Co. Ltd. (Foxlink),"Junda Industry Disctict, DongKeng, Dongguan, Guangdong, China",True
Cheng Uei Precision Industry Co. Ltd. (Foxlink),"No. 1, Xinfeng Street, Chang Long Village, Huang Jiang Town, Dongguan, Guangdong, China",True
Cheng Uei Precision Industry Co. Ltd. (Foxlink),"No. 6, Zhengwei Road, Jinxi Town, Kunshan, Jiangsu, China",True
Cheng Uei Precision Industry Co. Ltd. (Foxlink),"Dongxia Road North, Shantou, Guangdong, China",True
China Circuit Technology Corp.,"Wanji Industrial District, Longhu, Shantou, Guangdong, China",True
China Circuit Technology Corp.,"Jingang BoulevaRoad, Jinlong Science and Technology Park, Baixiang North Town, Yueqing, Wen- zhou, Zhejiang, China",True
China Jinlong Holding Group,"No. 50 Xingye Road, Jianghai District ,Jiangmen, Guangdong, China",True
Citizen Electronics Co. Ltd.,"529000, Jiangmen, Guangdong, China",True
Citizen Electronics Co. Ltd.,"539-21, Koasumi, Fujiyoshida, Yamanashi, Japan",True
Citizen Electronics Co. Ltd.,"6-2, Kouyoudai, Funehiki-cho, Tamura, Fukushima, Japan",True
CN Innovations Holdings Ltd.,"No. 58 Zhenxing Road, Dagang Zhen, Nansha District, Guangzhou, Guangdong, China",True
CN Innovations Holdings Ltd.,"No. 3 Yayuan Road, Bantian Sub-district, Longgang District, Shenzhen, Guangdong, China",True
CN Innovations Holdings Ltd.,"No. 34 Dongjing Industry Park, No. 9 Dongfu Road, SIP, Suzhou, Jiangsu, China",True
Coilcraft Inc.,"Putian Village, Xiyang Town, Meizhou, Guangdong, China",True
Coilcraft Inc.,"No. 5 Guangtonnan Road, Dongfeng West Street, Weinan, Shanxi, China",True
Coilcraft Inc.,"Jln Aster, Lot SD37-38, Lobam, Bintan, Indonesia",True
Coilcraft Inc.,"Bac Chu Lai Industrial Park, Chu Lai Open Economic Zone. Tam Hiep, Nui Thanh, Quang Nam, Vietnam",True
Compal Electronics Inc.,"No. 68-2 Suyuan Road, Nanjing Export Processing Zone South Area, Nanjing, Jiangsu, China",True
Compeq Manufacturing Co. Ltd.,"No. 168 Huguang Road, Huzhen Town, Boluo County, Huizhou, Guangdong, China",True
Compeq Manufacturing Co. Ltd.,"4D Block, Suchun Industrial Square, No.428, Xinglong Street, Suzhou Industrial Park, Suzhou, Jiang- su, China",True
Compeq Manufacturing Co. Ltd.,"No. 91, Lane 814, Ta Hsin Road, Shin Chuang Village, Lu Chu Hsiang, Taoyuan, Taiwan",True
Coretronic Corp.,"No. 2, Guoyuan 1st Road, East Zone, Guangzhou Economic and Technological Development District, Guangzhou, Guangdong, China",True
Corning Inc.,"No. 33 Section 2, Haundong Road, Tainan Scientific Industrial Park, Tainan, Taiwan",True
Corning Inc.,"680 East Office St., Harrodsburg, Kentucky, United States",True
Cosmosupplylab Ltd.,"Guanhuang Middle Road , Xiansha Industry, Gaobu Town, Dongguan, Guangdong, China",True
Cosmosupplylab Ltd.,"Zhongxin Middle Road, Xiansha Industry, Gaobu Town, Dongguan, Guangdong, China",True
Cosmosupplylab Ltd.,"North Square Road , Xiansha Industry, Gaobu Town, Dongguan, Guangdong, China",True
Cowell E Holdings Inc.,"No. 1, Songbo Road, Huanan Industrial Area, Liaobu Town, Dongguan, Guangdong, China",True
Coxon Precise Industrial Co. Ltd.,"West No. 3 Zhongnan South Road, Haibin District, Shangsha Village Chang'an Town, Dongguan, Guangdong, China",True
Coxon Precise Industrial Co. Ltd.,"Zhenan 1st road, 6th Industrial District, Shangsha Villlage, Chang'an Town, Dongguan, Guangdong, China",True
CymMetrik Enterprise Enterprise Co. Ltd.,"Factory 8, Industrial Park of Weishi County, Kaifeng, Henan, China",True
CymMetrik Enterprise Enterprise Co. Ltd.,"No. 168 Chuyang Road, Lujia Town, East part of Economic and Technical Development Zone, Kun- shan, Jiangsu, China",True
CymMetrik Enterprise Enterprise Co. Ltd.,"Xinhua Road, Xingwei Community, Fuyong Street, Bao'an, Shenzhen, Guangdong, China",True
Dai-Ichi Seiko Co. Ltd.,"2455-1 Takata, Chikuzen-machi, Asakura-gun, Fukuoka, Japan",True
Dai-Ichi Seiko Co. Ltd.,"12 Hokuryo-cho, Matsue, Shimane, Japan",True
Dai-Ichi Seiko Co. Ltd.,"863 MitsUnited Stateswa, Ogori, Fukuoka, Japan",True
Dai-Ichi Seiko Co. Ltd.,"55 Yishun Industrial Park A., Singapore",True
Dai-Ichi Seiko Co. Ltd.,"Block 2 Woodlands Sector 1, No. 01-24, Woodlands Spectrum 1, Singapore",True
